,DAY-MINUTE_OF_YEAR,EPAPA,EReHu,ESNDe,EWSWS,Edate,Edt,Etemp,Etime,LPAPA,LReHu,LSNDe,LWSWS,Ldate,Ldt,Ltemp,Ltime,dtEdt,dtLdt,inRange,inRange_dtEd,inRange_dtLd,pvE,pvL
101,64.375,1033.3,77.0,51.0,0.0,2012-03-04,2012-03-04 09:00,-4.2,09:00,1017.9,73.0,0.0,1.8,2017-03-05,2017-03-05 09:00,-3.2,09:00,2012-03-04 09:00:00,2017-03-05 09:00:00,1.0,1.0,1.0,,1022.0
103,64.3819444444,1033.2,74.0,50.0,0.6,2012-03-04,2012-03-04 09:10,-3.5,09:10,1017.8,71.0,0.0,2.1,2017-03-05,2017-03-05 09:10,-2.9,09:10,2012-03-04 09:10:00,2017-03-05 09:10:00,1.0,1.0,1.0,1034.0,1022.0
104,64.3888888889,1033.1,71.0,50.0,0.9,2012-03-04,2012-03-04 09:20,-3.6,09:20,1017.8,69.0,0.0,1.9,2017-03-05,2017-03-05 09:20,-2.8,09:20,2012-03-04 09:20:00,2017-03-05 09:20:00,1.0,1.0,1.0,1039.0,1005.0
106,64.3958333333,1033.1,72.0,51.0,1.1,2012-03-04,2012-03-04 09:30,-3.6,09:30,1017.8,69.0,0.0,1.5,2017-03-05,2017-03-05 09:30,-2.3,09:30,2012-03-04 09:30:00,2017-03-05 09:30:00,1.0,1.0,1.0,1050.0,1014.0
108,64.4027777778,1033.1,70.0,51.0,1.1,2012-03-04,2012-03-04 09:40,-3.2,09:40,1017.9,66.0,0.0,1.5,2017-03-05,2017-03-05 09:40,-2.1,09:40,2012-03-04 09:40:00,2017-03-05 09:40:00,1.0,1.0,1.0,1032.0,1011.0
110,64.4097222222,1033.0,70.0,51.0,1.2,2012-03-04,2012-03-04 09:50,-2.8,09:50,1017.8,64.0,0.0,1.7,2017-03-05,2017-03-05 09:50,-2.0,09:50,2012-03-04 09:50:00,2017-03-05 09:50:00,1.0,1.0,1.0,1023.0,1018.0
111,64.4166666667,1032.9,68.0,51.0,1.0,2012-03-04,2012-03-04 10:00,-2.6,10:00,1017.7,63.0,0.0,2.3,2017-03-05,2017-03-05 10:00,-2.0,10:00,2012-03-04 10:00:00,2017-03-05 10:00:00,1.0,1.0,1.0,1038.0,1021.0
113,64.4236111111,1032.9,69.0,51.0,1.0,2012-03-04,2012-03-04 10:10,-2.5,10:10,1017.6,60.0,0.0,2.0,2017-03-05,2017-03-05 10:10,-1.7,10:10,2012-03-04 10:10:00,2017-03-05 10:10:00,1.0,1.0,1.0,1043.0,1017.0
115,64.4305555556,1032.8,68.0,51.0,1.6,2012-03-04,2012-03-04 10:20,-2.3,10:20,1017.7,58.0,0.0,2.0,2017-03-05,2017-03-05 10:20,-1.5,10:20,2012-03-04 10:20:00,2017-03-05 10:20:00,1.0,1.0,1.0,1046.0,1008.0
118,64.4375,1032.7,67.0,51.0,2.1,2012-03-04,2012-03-04 10:30,-1.9,10:30,1017.7,56.0,0.0,1.7,2017-03-05,2017-03-05 10:30,-1.3,10:30,2012-03-04 10:30:00,2017-03-05 10:30:00,1.0,1.0,1.0,1035.0,1001.0
120,64.4444444444,1032.7,65.0,51.0,2.0,2012-03-04,2012-03-04 10:40,-1.6,10:40,1017.7,55.0,0.0,2.0,2017-03-05,2017-03-05 10:40,-1.3,10:40,2012-03-04 10:40:00,2017-03-05 10:40:00,1.0,1.0,1.0,1038.0,991.0
122,64.4513888889,1032.6,65.0,51.0,1.6,2012-03-04,2012-03-04 10:50,-1.4,10:50,1017.7,56.0,0.0,1.7,2017-03-05,2017-03-05 10:50,-0.9,10:50,2012-03-04 10:50:00,2017-03-05 10:50:00,1.0,1.0,1.0,1018.0,975.0
